price,bedrooms,bathrooms,floors,view,sqft_basement,grade_category
231300.0,2,1.0,1.0,0,0,2
180000.0,2,1.0,1.0,0,0,1
604000.0,4,3.0,1.0,0,910,2
510000.0,3,2.0,1.0,0,0,3
257500.0,3,2.25,2.0,0,0,2
291850.0,3,1.5,1.0,0,0,2
229500.0,3,1.0,1.0,0,730,2
323000.0,3,2.5,2.0,0,0,2
662500.0,3,2.5,1.0,0,1700,3
468000.0,2,1.0,1.0,0,300,2
310000.0,3,1.0,1.5,0,0,2
400000.0,3,1.75,1.0,0,0,2
530000.0,5,2.0,1.5,0,0,2
395000.0,3,2.0,2.0,0,0,2
485000.0,4,1.0,1.5,0,0,2
189000.0,2,1.0,1.0,0,0,2
230000.0,3,1.0,1.0,0,0,2
385000.0,4,1.75,1.0,0,760,2
285000.0,5,2.5,2.0,0,0,3
252700.0,2,1.5,1.0,0,0,2
329000.0,3,2.25,2.0,0,0,3
233000.0,3,2.0,1.5,0,0,1
937000.0,3,1.75,2.0,0,700,3
667000.0,3,1.0,1.5,0,0,3
438000.0,3,1.75,1.0,0,730,2
719000.0,4,2.5,2.0,0,0,3
580500.0,3,2.5,2.0,0,0,3
280000.0,2,1.5,3.0,0,0,2
535000.0,3,1.0,1.5,0,0,3
322500.0,4,2.75,1.0,0,780,2
696000.0,3,2.5,1.5,0,790,3
640000.0,4,2.0,2.0,0,0,3
240000.0,4,1.0,1.0,0,330,2
605000.0,4,2.5,2.0,0,0,3
625000.0,4,2.5,2.0,0,0,3
775000.0,4,2.25,1.0,0,1620,3
488000.0,3,2.5,2.0,0,0,3
785000.0,4,2.5,2.0,0,0,3
450000.0,3,1.75,1.0,0,0,2
228000.0,3,1.0,1.0,0,0,2
345000.0,5,2.5,1.0,0,1510,3
585000.0,2,1.75,1.0,0,990,2
920000.0,5,2.25,1.5,0,600,3
885000.0,4,2.5,2.0,0,0,3
292500.0,4,2.5,2.0,0,0,2
301000.0,3,2.5,2.0,0,0,3
650000.0,3,2.25,1.0,3,560,3
289000.0,3,1.75,1.0,0,0,2
505000.0,3,1.75,2.0,0,0,3
549000.0,3,1.75,3.0,0,0,3
425000.0,3,2.25,1.0,0,550,2
975000.0,4,2.5,2.0,0,0,4
287000.0,4,2.5,2.0,0,0,2
204000.0,3,1.0,1.0,0,0,2
325000.0,3,2.0,1.0,0,0,2
571000.0,4,2.0,1.5,0,500,2
360000.0,4,2.5,2.0,0,0,3
349000.0,3,1.75,1.0,0,700,2
832500.0,4,4.0,2.0,0,1040,4
380000.0,4,1.75,1.0,0,880,2
480000.0,3,1.0,1.0,0,0,2
410000.0,3,1.0,1.0,0,500,2
720000.0,4,2.5,2.0,0,0,4
390000.0,3,2.5,2.0,0,0,3
360000.0,4,2.5,2.0,0,0,2
355000.0,2,1.0,1.0,0,1010,2
356000.0,3,1.5,1.0,0,0,3
315000.0,3,1.0,1.0,0,0,1
940000.0,3,1.5,2.0,0,240,3
305000.0,5,2.25,1.5,0,0,2
335000.0,2,1.75,2.0,0,265,2
243500.0,4,2.5,2.0,0,0,2
1099880.0,5,2.75,2.0,0,0,4
430000.0,3,1.5,1.0,0,290,3
700000.0,3,1.5,1.0,0,290,3
247500.0,3,1.75,1.0,0,0,2
199000.0,4,1.5,1.0,0,0,2
437500.0,3,2.5,2.0,2,0,3
850830.0,3,2.5,1.5,0,800,3
555000.0,3,2.0,1.5,0,540,2
699950.0,3,2.25,2.0,0,0,3
290000.0,3,1.0,1.0,0,0,2
375000.0,3,2.5,1.0,0,880,3
460000.0,3,1.0,1.5,0,500,2
188500.0,2,1.75,1.0,0,0,3
680000.0,4,2.5,2.0,0,0,4
597750.0,4,2.5,2.0,0,0,3
570000.0,3,1.75,1.0,0,560,1
272500.0,3,1.75,1.0,0,380,2
329950.0,3,1.75,1.0,2,1000,2
740500.0,3,3.5,2.0,0,1600,3
518500.0,3,3.5,3.0,0,0,3
205425.0,2,1.0,1.0,0,0,1
535000.0,4,1.0,1.5,0,0,2
391500.0,3,2.0,1.0,0,0,2
395000.0,2,1.0,1.0,0,0,1
445000.0,4,1.75,1.5,0,380,2
770000.0,3,2.25,2.0,0,0,3
260000.0,4,2.25,1.0,0,800,3
430000.0,4,2.5,2.0,0,0,2
212000.0,3,1.75,1.0,0,0,2
660500.0,4,2.25,1.0,0,570,3
784000.0,3,3.5,1.5,0,1490,3
453246.0,3,2.5,2.0,0,620,3
675000.0,4,3.5,3.0,0,0,3
199000.0,3,1.75,1.0,0,0,2
