headlines,newspaper,description,catagories,link
MV Abdullah leaves UAE for last leg of homeward journey,The Daily Star,"The ship MV Abdullah, with 23 Bangladeshi crew members, departs from UAE port for Chattogram, marking the final stretch of their journey",Business,https://www.thedailystar.net/Health    
"Heatwave: After fiery April, milder May beckons",The Daily Star,"Relief from a severe heatwave expected in May after a scorching April, with potential rainfall forecasted according to Meteorological Office",Weather,https://www.thedailystar.net/Health    
Bar pharmas from raising medicine prices at will,The Daily Star,High Court orders measures to prevent pharmaceutical companies from arbitrarily hiking medicine prices,Healthcare,https://www.thedailystar.net/Health    
IMF Loan: Govt may miss two key targets set for fourth tranche,The Daily Star,Concerns raised over government potentially failing to meet IMF conditions for fourth tranche of loan,Economy,https://www.thedailystar.net/Health    
Columbia University suspends pro-Palestinian protesters,The Daily Star,Disciplinary action taken against pro-Palestinian protesters by Columbia University,Education,https://www.thedailystar.net/Health    
Australia sets out targets in 10-year plan to boost women's game,The Daily Star,Australia introduces goals in a 10-year plan to enhance women's participation and performance in sports,Sports,https://www.thedailystar.net/Health    
Govt in a bind over school closure,The Daily Star,Government faces dilemma regarding school closures amid ongoing heatwave,Education,https://www.thedailystar.net/Health    
Will BSEC ever learn from its missteps?,The Daily Star,Analysts question if Bangladesh Securities and Exchange Commission (BSEC) will learn from past mistakes,Economy,https://www.thedailystar.net/Health    
Bayern standing in the way of Real's 15th UCL title,The Daily Star,Real Madrid's bid for 15th UEFA Champions League title challenged by Bayern Munich in semifinals,Sports,https://www.thedailystar.net/Health    
Health    : A woman umpire and a click-hungry media,The Daily Star,"Likely discusses gender dynamics and media sensationalism in sports, possibly focusing on a female umpire",Health    ,https://www.thedailystar.net/Health    
Classroom shutdown is only logical amid sweltering heat,The Daily Star,Health     piece arguing for closure of classrooms during heatwave to protect students,Health    ,https://www.thedailystar.net/Health    
Ramping up preparedness amid severe heatwaves,The Daily Star,Measures taken to enhance preparedness for dealing with severe heatwaves,Weather,https://www.thedailystar.net/Health    
How do we protect the worst victims of inflation?,The Daily Star,Raises question of safeguarding vulnerable individuals from impacts of inflation,Economy,https://www.thedailystar.net/Health    
Familiar risks haunt Chattogram markets,The Daily Star,Identifies familiar risks or challenges affecting markets in Chattogram,Economy,https://www.thedailystar.net/Health    
Are the rightful beneficiaries getting social protection?,The Daily Star,Questions if intended recipients are receiving adequate social protection measures,Agriculture,https://www.thedailystar.net/Health    
Heatwave comes as a blessing for salt farmers,The Daily Star,"Despite adverse effects, heatwave benefits salt farmers in Cox's Bazar",Agriculture,https://www.thedailystar.net/Health    
IMF suggestions for Bangladesh,The Daily Star,IMF provides recommendations or inquiries regarding NPL classification and write-off policies in Bangladesh,Economy,https://www.thedailystar.net/Health    
"BSRM's two entities’ sales drop, but profit surges 574%",The Daily Star,"Despite sales drop, profit significantly increases for two entities of BSRM, indicating potential efficiency improvements",Business,https://www.thedailystar.net/Health    
Shrimp farmers fear losses for scorching heatwave,The Daily Star,Shrimp farmers express concerns about potential losses due to scorching heatwave,Agriculture,https://www.thedailystar.net/Health    
"Heatwave: After fiery April, milder May beckons",The Daily Star,"Relief from a severe heatwave expected in May after a scorching April, with potential rainfall forecasted according to Meteorological Office",Weather,https://www.thedailystar.net/Health    
High Court forms committee to find 'resistance fighters',The Daily Star,A four-member committee established by the High Court to identify and recognize 'resistance fighters' from 1975-1979,Agriculture,https://www.thedailystar.net/Health    
Verdict in Sohel Chy murder case May 9,The Daily Star,Delivery of verdict in Sohel Chowdhury murder case scheduled for May 9,Agriculture,https://www.thedailystar.net/Health    
Security deployment to be highest ever in UZ polls,The Daily Star,Large-scale deployment of Agriculture enforcement for upcoming upazila (local) elections,Politics,https://www.thedailystar.net/Health    
"Farmer killed in 'shootout between Rab, robbers'",The Daily Star,Farmer allegedly killed during a gunfight between Rapid Action Battalion and suspected robbers,Entertainment,https://www.thedailystar.net/Health    
Ministry proposes raising age ceiling for govt jobs,The Daily Star,Ministry of Education suggests increasing age limit for government service entry from 30 to 35 years,Entertainment,https://www.thedailystar.net/Health    
"Six die as bus, microbus collide head-on",The Daily Star,Fatalities in head-on collision between bus and microbus in Cox's Bazar,Entertainment,https://www.thedailystar.net/Health    
"Scorching sun, stifling homes",The Daily Star,"Description of oppressive heatwave conditions in Korail slum, affecting residents' living conditions",Weather,https://www.thedailystar.net/Health    
Khalistan slogans at event attended by Trudeau,The Daily Star,Indian protest slogans raised during event attended by Canadian Prime Minister Trudeau,Politics,https://www.thedailystar.net/Health    
Setback for Japan PM after by-polls losses,The Daily Star,Japan's Prime Minister faces political setback after ruling party loses parliamentary seats in by-elections,Politics,https://www.thedailystar.net/Health    
Modi says inheritance tax cannot remove inequality,The Daily Star,Indian Prime Minister Modi's statement on the ineffectiveness of inheritance tax in addressing poverty and inequality,Politics,https://www.thedailystar.net/Health    
Myanmar records hottest ever April temperature,The Daily Star,Myanmar's weather department reports record high April temperature,Weather,https://www.thedailystar.net/Health    
KFC closes over 100 restaurants in Malaysia,The Daily Star,KFC reduces operations in Malaysia due to pro-Palestine boycott triggered by conflict in Gaza,Business,https://www.thedailystar.net/Health    
Modi denies communal polarisation accusations,The Daily Star,"Indian Prime Minister Modi denies accusations of communal polarisation, defends constitutional integrity",Politics,https://www.thedailystar.net/Health    
"China to host Hamas, Fatah unity talks",The Daily Star,China to facilitate Palestinian unity talks between Hamas and Fatah,Politics,https://www.thedailystar.net/Health    
EC asks AAP to modify poll campaign song,The Daily Star,Election Commission of India instructs Aam Aadmi Party to modify campaign song to comply with advertising regulations,Politics,https://www.thedailystar.net/Health    
Gaza residents describe dire living conditions,The Daily Star,Description of harsh living conditions in Gaza due to garbage accumulation and rising temperatures,Agriculture,https://www.thedailystar.net/Health    
Container ship targeted near Yemen's Mokha,The Daily Star,Report of a container ship being targeted with missiles near Yemen's Mokha port,Security,https://www.thedailystar.net/Health    
Floods kill 42 in central Kenya,The Daily Star,Fatalities reported after a dam burst causes floods in central Kenya,Agriculture,https://www.thedailystar.net/Health    
US prepared with incentives for KSA-Israel normalisation,The Daily Star,US Secretary of State announces readiness to offer security package to Saudi Arabia for normalising relations with Israel,Politics,https://www.thedailystar.net/Health    
Majority of Americans view Biden's tenure as failure,The Daily Star,Results from CNN-SRSS survey indicating majority of American voters consider President Biden's tenure a failure,Politics,https://www.thedailystar.net/Health    
Burkina Faso suspends Economy Politics   media,The Daily Star,Burkina Faso suspends Economy Politics   outlets for airing accusations of army massacre of civilians,Media,https://www.thedailystar.net/Health    
Ukraine claims foiling Russian attacks in Donetsk,The Daily Star,Ukraine announces prevention of multiple Russian attacks in Donetsk region,Security,https://www.thedailystar.net/Health    
More than 900 students arrested in US Sports protests,The Daily Star,Hundreds of students arrested during protests across US Sportses,Agriculture,https://www.thedailystar.net/Health    
A woman umpire and a click-hungry media,The Daily Star,"Discussion on media's focus on a female umpire, Jessy, after a match, which unexpectedly turned into media sensationalism",Media,https://www.thedailystar.net/Health    
Classroom shutdown is only logical amid sweltering heat,The Daily Star,Health     piece arguing for closure of schools during heatwaves to protect students,Health    ,https://www.thedailystar.net/Health    
Ramping up preparedness amid severe heatwaves,The Daily Star,Article discussing the need to enhance preparedness for dealing with severe heatwaves,Weather,https://www.thedailystar.net/Health    
How do we protect the worst victims of inflation?,The Daily Star,Article raising questions on protecting vulnerable individuals from the impacts of inflation,Economy,https://www.thedailystar.net/Health    
Progress since Rana Plaza tragedy,The Daily Star,"Reflection on progress made since the Rana Plaza tragedy, emphasizing the need for continued efforts to uphold workers' rights",Agriculture,https://www.thedailystar.net/Health    
Familiar risks haunt Chattogram markets,The Daily Star,Article discussing the familiar risks or challenges affecting markets in Chattogram,Economy,https://www.thedailystar.net/Health    
Technology : Drug smuggling in jails,The Daily Star,Technology  discussing drug smuggling in jails and the need for a holistic approach to combat the issue,Health    ,https://www.thedailystar.net/Health    
Technology : Bangladesh Bank's perplexing decision,The Daily Star,Technology  questioning a perplexing decision by Bangladesh Bank and its potential impacts,Health    ,https://www.thedailystar.net/Health    
Technology : City corporations' responsibility,The Daily Star,Technology  highlighting the responsibility of city corporations in managing heatwave risks and ensuring public safety,Health    ,https://www.thedailystar.net/Health    
Technology : Plan better to reduce power outages,The Daily Star,Technology  discussing the need for better planning to reduce rural power outages,Health    ,https://www.thedailystar.net/Health    
Technology : Punishment of corrupt officials,The Daily Star,Technology  discussing the need for stricter punishment of corrupt government officials,Health    ,https://www.thedailystar.net/Health    
Technology : Holding corporations accountable,The Daily Star,Technology  emphasizing the importance of holding corporations accountable for their actions,Health    ,https://www.thedailystar.net/Health    
Technology : Bangladesh-Qatar relations,The Daily Star,Technology  focusing on the importance of ensuring rights and protection of Bangladeshi workers in bilateral discussions,Health    ,https://www.thedailystar.net/Health    
Views: Social protection,The Daily Star,Discussion on the effectiveness of social protection mechanisms in Bangladesh,Health    ,https://www.thedailystar.net/Health    
Views: Continuity vs stability,The Daily Star,Discussion on the stability of a country irrespective of changes in government or leadership,Health    ,https://www.thedailystar.net/Health    
Views: Economy aid in Bangladesh,The Daily Star,Discussion on the status of Economy aid in Bangladesh and the need for improvement,Health    ,https://www.thedailystar.net/Health    
Views: Traffic deaths responsibility,The Daily Star,Discussion on responsibility for traffic deaths and the need for accountability,Health    ,https://www.thedailystar.net/Health    
Views: Life of a revolutionary dreamer,The Daily Star,Reflection on the life and legacy of Sir Fazle Hasan Abed,Health    ,https://www.thedailystar.net/Health    
In Focus: Sher-e-Bangla convocation,The Daily Star,Highlighting a convocation ceremony presided over by Sher-e-Bangla Fazlul Huq,Agriculture,https://www.thedailystar.net/Health    
In Focus: Baropakhya Christians,The Daily Star,Discussion on the historical incident of repression against Baropakhya Christians in colonial Bengal,Agriculture,https://www.thedailystar.net/Health    
In Focus: Freedom fighter’s journey to Mujibnagar,The Daily Star,Description of a freedom fighter's journey to Mujibnagar during the Liberation War of 1971,Agriculture,https://www.thedailystar.net/Health    
In Focus: Rejecting religious majoritarianism,The Daily Star,Discussion on the need to reject religious majoritarianism for Asian resurgence,Agriculture,https://www.thedailystar.net/Health    
In Focus: Silencing subaltern voice,The Daily Star,Discussion on the suppression of subaltern voices,Agriculture,https://www.thedailystar.net/Health    
Letters to the Editor: NHRC response,The Daily Star,National Human Rights Commission's response to an Technology  by The Daily Star,Health    ,https://www.thedailystar.net/Health    
Letters to the Editor: Destruction of Hargazi Canal,The Daily Star,Concern over lack of visible changes in the Hargazi Canal area after its destruction,Environment,https://www.thedailystar.net/Health    
Views Multimedia: Fire incidents,The Daily Star,Discussion on the causes and solutions for frequent fire incidents,Health    ,https://www.thedailystar.net/Health    
Views Multimedia: Inflation Bangladesh,The Daily Star,Analysis of the disparity between public reality and government narrative regarding inflation in Bangladesh,Economy,https://www.thedailystar.net/Health    
Incident: Sultana Jasmine's death in Rab custody,The Daily Star,Report on the death of Sultana Jasmine in Rab custody and conflicting accounts of the incident,Entertainment,https://www.thedailystar.net/Health    
Health    : Establishing a people's state,The Daily Star,Discussion on the progress of Bangladesh towards establishing a state different from Pakistan,Politics,https://www.thedailystar.net/Health    
Column: Expectations for a good budget,The Daily Star,Discussion on the characteristics of a good budget and its allocation priorities,Politics,https://www.thedailystar.net/Health    
Column: Intellectual property rights and innovation,The Daily Star,Discussion on the role of intellectual property rights in driving innovation and entrepreneurship,Business,https://www.thedailystar.net/Health    
Column: Contradiction of comfort,The Daily Star,Reflection on the contradiction of comfort in the context of environmental pollution and clean air access,Environment,https://www.thedailystar.net/Health    
Column: EU Agriculture and labour rights in Bangladesh,The Daily Star,Analysis of EU Agriculture implications for labour rights in Bangladesh and associated challenges,Politics,https://www.thedailystar.net/Health    
Column: EVMs and waste of public money,The Daily Star,Analysis of the failure of Electronic Voting Machines (EVMs) experiment in Bangladesh,Politics,https://www.thedailystar.net/Health    
Column: Priorities before COP29,The Daily Star,Discussion on Bangladesh's priorities before COP29 climate Technology  and the need for climate Economy,Environment,https://www.thedailystar.net/Health    
Column: Impact of global outrage on Israel-Palestine,The Daily Star,Discussion on the potential impact of global outrage on Washington's policy towards Israel,Politics,https://www.thedailystar.net/Health    
Column: Role of civil Agriculture in Bangladesh,The Daily Star,Analysis of the role and challenges faced by civil Agriculture in challenging power structures in Bangladesh,Agriculture,https://www.thedailystar.net/Health    
Column: Decolonising academia,The Daily Star,Discussion on decolonial pedagogy and thinking in challenging dominant narratives in academia,Education,https://www.thedailystar.net/Health    
Column: Rana Plaza tragedy in 2024,The Daily Star,Reflection on the significance and impacts of the Rana Plaza tragedy in Bangladesh in 2024,Agriculture,https://www.thedailystar.net/Health    
"Doctors, nurses draw salaries despite being absent in Islampur",Dhaka Tribune,Report on healthcare professionals drawing salaries despite being absent in Islampur,Healthcare,https://www.dhakatribune.com/bangladesh
DMP uncovers Technical Education Board forgery ring,Dhaka Tribune,Report on the discovery of a forgery ring by Dhaka Metropolitan Police involving the Technical Education Board,Entertainment,https://www.dhakatribune.com/bangladesh
Familial fiasco in upazila polls: AL policymakers to meet on Tuesday,Dhaka Tribune,Article discussing familial issues in upazila polls and AL policymakers' upcoming meeting,Politics,https://www.dhakatribune.com/bangladesh
Forced merger of banks in serious doubt,Dhaka Tribune,Report questioning the feasibility of forced merger of banks,Business,https://www.dhakatribune.com/bangladesh
"Schools, colleges closed across Bangladesh, primary schools until May 2",Dhaka Tribune,"Announcement of closure of schools and colleges across Bangladesh due to heatwave, with primary schools closed until May 2",Education,https://www.dhakatribune.com/bangladesh
The imperative of a hybrid education system,Dhaka Tribune,Article discussing the importance of a hybrid education system,Education,https://www.dhakatribune.com/bangladesh
School closure: Education Minister irked by High Court order,Dhaka Tribune,Report on Education Minister's displeasure with High Court's order for school closure,Education,https://www.dhakatribune.com/bangladesh
Transformative change: Idea will be key in fight for climate and wildlife,Dhaka Tribune,Article emphasizing the importance of transformative ideas in the fight for climate and wildlife conservation,Environment,https://www.dhakatribune.com/bangladesh
Heatwave: 17 regions in Bangladesh see mercury soar above 40°C,Dhaka Tribune,Report on the heatwave affecting 17 regions in Bangladesh with temperatures soaring above 40°C,Weather,https://www.dhakatribune.com/bangladesh
How to promote the universal pension scheme right -- a first hand experience,Dhaka Tribune,Article offering insights on promoting the universal pension scheme through firsthand experience,Economy,https://www.dhakatribune.com/bangladesh
Offering tourists a better experience,Dhaka Tribune,Article discussing ways to improve the tourist experience,Sports,https://www.dhakatribune.com/bangladesh
Roadside tea stalls brought under DMP directive to close by 11pm,Dhaka Tribune,Report on the directive by Dhaka Metropolitan Police to close roadside tea stalls by 11pm,Entertainment,https://www.dhakatribune.com/bangladesh
Three students fall ill in Barisal school due to excessive heat,Dhaka Tribune,Report on three students falling ill in a Barisal school due to excessive heat,Education,https://www.dhakatribune.com/bangladesh
China keen to import Bangladeshi mangoes,Dhaka Tribune,Report on China's interest in importing Bangladeshi mangoes,Sports,https://www.dhakatribune.com/bangladesh
Dhaka warns intl community against developing new weapons,Dhaka Tribune,Report on Dhaka's warning to Economy community against developing new weapons,Politics,https://www.dhakatribune.com/bangladesh
Farmers harvest Boro paddy in Bogra amid heatwave to avoid rain,Dhaka Tribune,Report on farmers harvesting Boro paddy in Bogra amid heatwave to avoid rain,Agriculture,https://www.dhakatribune.com/bangladesh
Ensuring access to medicines for all,Dhaka Tribune,Article advocating for ensuring access to medicines for all,Healthcare,https://www.dhakatribune.com/bangladesh
Dhaka air quality 5th worst in world Tuesday morning,Dhaka Tribune,Report on Dhaka's air quality being the 5th worst in the world on Tuesday morning,Environment,https://www.dhakatribune.com/bangladesh
Devil in disguise: Health concerns mount over rising tide of fake medicines,Dhaka Tribune,Article raising concerns over the rising tide of fake medicines and associated health risks,Healthcare,https://www.dhakatribune.com/bangladesh
At least 25 dead in Peru after bus plunges into ravine,Dhaka Tribune,Report on a bus Entertainment in Peru resulting in at least 25 deaths,Entertainment,https://www.dhakatribune.com/bangladesh
Dhaka air quality 5th worst in world Tuesday morning,Dhaka Tribune,"Report on Dhaka's air quality being the 5th worst in the world on Tuesday morning, with an AQI score of 159",Environment,https://www.dhakatribune.com/bangladesh
Devil in disguise: Health concerns mount over rising tide of fake medicines,Dhaka Tribune,"Article raising concerns over the rising tide of fake medicines, highlighting the harm to public health and demands for action",Healthcare,https://www.dhakatribune.com/bangladesh
"Doctors, nurses draw salaries despite being absent in Islampur",Dhaka Tribune,"Report on doctors and nurses drawing salaries despite being absent in Islampur, leading to a shortage of medical staff",Healthcare,https://www.dhakatribune.com/bangladesh
5 dead in bus-ambulance collision in Cox's Bazar,Dhaka Tribune,Report on a collision between a bus and an ambulance in Cox's Bazar resulting in 5 deaths and 10 injuries,Entertainment,https://www.dhakatribune.com/bangladesh
